title,vote_average,vote_count,release_date,revenue,runtime,budget,popularity,genres,n_ad_breaks,runtime_with_ads,scaled_popularity,children_scaled_popularity,adults_scaled_popularity,retirees_scaled_popularity
The Lord of the Rings: The Two Towers,8.385,20274,2002-12-18,926287400,179,79000000,78.73,"['Adventure', 'Fantasy', 'Action']",6,210.0,0.9539010759528633,0.9539011,0.9539011,0.3815604
Captain America: The First Avenger,6.995,20269,2011-07-22,370569774,124,140000000,43.665,"['Action', 'Adventure', 'Science Fiction']",5,150.0,0.7753882674797583,0.6203106,0.7753883,0.3101553
Suicide Squad,5.909,20097,2016-08-03,746846894,123,175000000,35.356,"['Action', 'Adventure', 'Fantasy']",5,150.0,0.7055213493087149,0.7055213,0.7055213,0.2822085
Harry Potter and the Prisoner of Azkaban,8.02,20038,2004-05-31,789804554,141,130000000,124.386,"['Adventure', 'Fantasy']",5,180.0,1.0,1.0,1.0,0.4
Thor,6.768,20023,2011-04-21,449326618,115,150000000,51.277,"['Adventure', 'Fantasy', 'Action']",4,120.0,0.8263605744941432,0.8263606,0.8263606,0.3305442
Iron Man 2,6.835,19756,2010-04-28,623933331,124,200000000,84.445,"['Adventure', 'Action', 'Science Fiction']",5,150.0,0.9736682105865635,0.7789346,0.9736682,0.3894673
Batman Begins,7.701,19561,2005-06-10,374218673,140,150000000,66.286,"['Action', 'Crime', 'Drama']",5,180.0,0.9041287589202442,0.5424773,0.9041288,0.723303
Thor: Ragnarok,7.595,19539,2017-10-02,855301806,131,180000000,45.2,"['Action', 'Adventure', 'Science Fiction']",5,150.0,0.7865041826263057,0.6292033,0.7865042,0.3146017
Inside Out,7.922,19463,2015-06-09,857611174,95,175000000,107.292,"['Animation', 'Family', 'Adventure', 'Drama', 'Comedy']",4,120.0,1.0,0.8,0.8,0.8
Jurassic World,6.682,19414,2015-06-06,1671537444,124,150000000,54.089,"['Action', 'Adventure', 'Science Fiction', 'Thriller']",5,150.0,0.8428939186276252,0.6743151,0.8428939,0.3371576
Se7en,8.368,19403,1995-09-22,327311859,127,33000000,53.521,"['Crime', 'Mystery', 'Thriller']",5,150.0,0.8396401773545525,0.3358561,0.8396402,0.6717121
Harry Potter and the Goblet of Fire,7.816,19287,2005-11-16,895921036,157,150000000,134.276,"['Adventure', 'Fantasy']",6,180.0,1.0,1.0,1.0,0.4
Pirates of the Caribbean: The Curse of the Black Pearl,7.794,19233,2003-07-09,655011224,143,140000000,80.509,"['Adventure', 'Fantasy', 'Action']",5,180.0,0.9602351090558597,0.9602351,0.9602351,0.384094
Harry Potter and the Deathly Hallows: Part 2,8.105,19183,2011-07-12,1341511219,130,125000000,110.974,"['Fantasy', 'Adventure']",5,150.0,1.0,1.0,1.0,0.4
Star Wars,8.204,19155,1977-05-25,775398007,121,11000000,88.559,"['Adventure', 'Action', 'Science Fiction']",5,150.0,0.9869255127533727,0.7895404,0.9869255,0.3947702
Wonder Woman,7.236,18954,2017-05-30,822854286,141,149000000,54.628,"['Action', 'Adventure', 'Fantasy']",5,180.0,0.8459432058203166,0.8459432,0.8459432,0.3383773
Up,7.949,18857,2009-05-28,735099082,96,175000000,90.968,"['Animation', 'Comedy', 'Family', 'Adventure']",4,120.0,0.9943490630339533,0.9943491,0.5966094,0.5966094
Ant-Man,7.082,18730,2015-07-14,519311965,117,130000000,37.692,"['Science Fiction', 'Action', 'Adventure']",4,150.0,0.7270621803079881,0.5816497,0.7270622,0.2908249
